"","date","league_id","league","team1","team2","spi1","spi2","prob1","prob2","probtie","proj_score1","proj_score2","score1","score2","xg1","xg2","nsxg1","nsxg2","adj_score1","adj_score2"
"1","2022-11-24",1908,"FIFA World Cup","Brazil","Serbia",93.55,75.84,0.6787,0.1124,0.2089,2.11,0.72,2,0,1.48,0.18,1.4,0.36,2.02,0
"2","2022-12-01",1908,"FIFA World Cup","Canada","Morocco",71.52,74.99,0.2898,0.3956,0.3147,0.99,1.21,1,2,0.98,0.37,0.68,0.24,1.05,2.1
"3","2022-12-10",1908,"FIFA World Cup","Morocco","Portugal",74.45,87.92,0.3185,0.6815,0,0.83,1.46,1,0,0.57,1.11,0.67,1.32,1.05,0
"4","2022-11-29",1908,"FIFA World Cup","Netherlands","Qatar",84.38,48.46,0.7768,0.0696,0.1536,2.6,0.65,2,0,1.36,0.19,1.06,0.45,2.1,0
"5","2022-12-02",1908,"FIFA World Cup","South Korea","Portugal",66.93,87.55,0.1666,0.5866,0.2468,0.86,1.84,2,1,0.85,0.9,0.72,0.64,2.1,1.05
"6","2022-11-27",1908,"FIFA World Cup","Croatia","Canada",78.46,73.84,0.4069,0.2893,0.3037,1.29,1.05,4,1,1.56,0.37,1.6,0.85,3.68,1.05
"7","2022-11-30",1908,"FIFA World Cup","Australia","Denmark",58.8,77.68,0.1985,0.522,0.2795,0.85,1.56,1,0,0.47,0.62,0.4,1.75,1.05,0
"8","2022-11-27",1908,"FIFA World Cup","Spain","Germany",91.22,88.73,0.4619,0.2781,0.26,1.72,1.28,1,1,0.57,0.91,1.32,1.06,1.05,1.05
"9","2022-11-24",1908,"FIFA World Cup","Portugal","Ghana",87.77,58.63,0.6974,0.0912,0.2114,2,0.56,3,2,1.89,0.52,1.63,0.27,2.9,2.1
"10","2022-11-22",1908,"FIFA World Cup","Mexico","Poland",74.3,68.28,0.4238,0.2802,0.296,1.37,1.06,0,0,0.45,1.02,1.19,0.49,0,0
"11","2022-12-18",1908,"FIFA World Cup","Argentina","France",88.86,88.41,0.5321,0.4679,0,1.3,1.18,3,3,2.81,2.25,2.36,0.76,3.15,3.15
"12","2022-11-23",1908,"FIFA World Cup","Belgium","Canada",82.49,71.59,0.4888,0.2462,0.265,1.68,1.12,1,0,0.65,2.6,1.18,2.31,1.05,0
"13","2022-11-21",1908,"FIFA World Cup","England","Iran",85.96,62.17,0.6274,0.1187,0.2539,1.7,0.58,6,2,1.04,1.45,1.5,0.32,5.78,2.1
"14","2022-12-06",1908,"FIFA World Cup","Morocco","Spain",74.42,89.2,0.2711,0.7289,0,0.65,1.44,0,0,0.69,1.01,0.67,1.58,0,0
"15","2022-11-23",1908,"FIFA World Cup","Spain","Costa Rica",89.51,55.46,0.7623,0.0595,0.1781,2.19,0.44,7,0,2.39,0,1.71,0.15,6.22,0
